file,status,t_nm,t_err_nm,t_fft_nm,rho_gcm3,rho_err,rho_pct_theoretical,sig_top_nm,sig_top_err,sig_int_nm,sig_int_err,rho_substrate_gcm3,tth_offset_deg,footprint_2theta_deg,scale,bkg_norm,two_theta_c_deg,fit_logRMSE,n_pts_fit,warnings
17_0622_oxy_30W_XRR.xy,OK,10.31,1.95,9.0,3.509,0.116,107.8,2.39,0.04,6.00,1.79,2.650,0 (fixed),0.020,0.194,2.82e-06,0.5405,0.1913,400,"max intensity 5e+06 cts - check detector linearity ; only ~2.0 fringes in range - thickness poorly constrained; extend the scan range ; parameter t_film=103.1 at its bound [76.23,103.1] - widen bounds and refit ; parameter sig_int=60 at its bound [0,60] - widen bounds and refit ; parameter rho_sub=2.65 at its bound [2,2.65] - widen bounds and refit ; fitted substrate density 2.65 g/cm3 deviates from nominal 2.20 - dense oxide or a graded film/substrate interface; film density then carries extra systematic uncertainty (~a few %) ; poor fit quality (log10-RMSE=0.191 > 0.15) - consider INCLUDE_CAP_LAYER=True or a graded interface; treat parameters with caution ; fit thickness 10.3 nm vs FFT 9.0 nm (> 3% apart) - verify fringe match ; fitted density 3.51 g/cm3 exceeds theoretical (3.25) by >2% - unphysical for AlN; check alignment/zero offset or model ; roughness 6.0 nm is large - Nevot-Croce approximation marginal; consider a graded-density model"
22_0624_80m_N2_cool_XRR.xy,OK,7.65,unconstr.,9.0,3.582,0.478,110.1,6.76,0.90,2.54,0.21,2.000,0 (fixed),1.007,1.110,4.33e-06,0.5461,0.3099,400,"max intensity 4.6e+06 cts - check detector linearity ; only ~2.0 fringes in range - thickness poorly constrained; extend the scan range ; parameter t_film=76.55 at its bound [76.55,103.6] - widen bounds and refit ; parameter rho_sub=2 at its bound [2,2.65] - widen bounds and refit ; fitted substrate density 2.00 g/cm3 deviates from nominal 2.20 - dense oxide or a graded film/substrate interface; film density then carries extra systematic uncertainty (~a few %) ; poor fit quality (log10-RMSE=0.310 > 0.15) - consider INCLUDE_CAP_LAYER=True or a graded interface; treat parameters with caution ; fit thickness 7.7 nm vs FFT 9.0 nm (> 3% apart) - verify fringe match ; fitted density 3.58 g/cm3 exceeds theoretical (3.25) by >2% - unphysical for AlN; check alignment/zero offset or model ; roughness 6.8 nm is large - Nevot-Croce approximation marginal; consider a graded-density model"
24_0625_oxy_40W_2.5mT_ps_XRR.xy,OK,10.31,2.08,9.0,3.363,0.126,103.3,2.87,0.08,6.00,1.62,2.650,0 (fixed),0.993,0.990,1.28e-05,0.5291,0.1311,392,"only ~2.0 fringes in range - thickness poorly constrained; extend the scan range ; parameter t_film=103.1 at its bound [76.22,103.1] - widen bounds and refit ; parameter sig_int=60 at its bound [0,60] - widen bounds and refit ; parameter rho_sub=2.65 at its bound [2,2.65] - widen bounds and refit ; fitted substrate density 2.65 g/cm3 deviates from nominal 2.20 - dense oxide or a graded film/substrate interface; film density then carries extra systematic uncertainty (~a few %) ; fit thickness 10.3 nm vs FFT 9.0 nm (> 3% apart) - verify fringe match ; fitted density 3.36 g/cm3 exceeds theoretical (3.25) by >2% - unphysical for AlN; check alignment/zero offset or model ; roughness 6.0 nm is large - Nevot-Croce approximation marginal; consider a graded-density model"
26_0629_mixed_psXRR.xy,OK,10.34,1.42,9.0,3.203,0.065,98.4,2.77,0.03,6.00,1.33,2.650,0 (fixed),1.263,1.822,7.80e-06,0.5164,0.1103,392,"max intensity 1.1e+06 cts - check detector linearity ; only ~2.0 fringes in range - thickness poorly constrained; extend the scan range ; parameter t_film=103.4 at its bound [76.4,103.4] - widen bounds and refit ; parameter sig_int=60 at its bound [0,60] - widen bounds and refit ; parameter rho_sub=2.65 at its bound [2,2.65] - widen bounds and refit ; fitted substrate density 2.65 g/cm3 deviates from nominal 2.20 - dense oxide or a graded film/substrate interface; film density then carries extra systematic uncertainty (~a few %) ; fit thickness 10.3 nm vs FFT 9.0 nm (> 3% apart) - verify fringe match ; roughness 6.0 nm is large - Nevot-Croce approximation marginal; consider a graded-density model"
27_0629_Mercer_XRR.xy,OK,10.33,unconstr.,9.0,3.068,0.159,94.3,2.86,0.08,6.00,4.01,2.650,0 (fixed),0.020,0.145,2.21e-06,0.5054,0.2482,400,"max intensity 5e+06 cts - check detector linearity ; only ~2.0 fringes in range - thickness poorly constrained; extend the scan range ; parameter t_film=103.3 at its bound [76.35,103.3] - widen bounds and refit ; parameter sig_int=60 at its bound [0,60] - widen bounds and refit ; parameter rho_sub=2.65 at its bound [2,2.65] - widen bounds and refit ; fitted substrate density 2.65 g/cm3 deviates from nominal 2.20 - dense oxide or a graded film/substrate interface; film density then carries extra systematic uncertainty (~a few %) ; poor fit quality (log10-RMSE=0.248 > 0.15) - consider INCLUDE_CAP_LAYER=True or a graded interface; treat parameters with caution ; fit thickness 10.3 nm vs FFT 9.0 nm (> 3% apart) - verify fringe match ; roughness 6.0 nm is large - Nevot-Croce approximation marginal; consider a graded-density model"
28_0629_mixed_ps2XRR.xy,OK,10.33,unconstr.,9.0,2.000,0.159,61.4,8.00,1.32,0.29,unconstr.,2.000,0 (fixed),1.500,0.100,3.09e-07,0.4080,1.3912,400,"max intensity 5e+06 cts - check detector linearity ; only ~2.0 fringes in range - thickness poorly constrained; extend the scan range ; parameter rho_film=2 at its bound [2,3.6] - widen bounds and refit ; parameter t_film=103.3 at its bound [76.35,103.3] - widen bounds and refit ; parameter sig_top=80 at its bound [0,80] - widen bounds and refit ; parameter rho_sub=2 at its bound [2,2.65] - widen bounds and refit ; fitted substrate density 2.00 g/cm3 deviates from nominal 2.20 - dense oxide or a graded film/substrate interface; film density then carries extra systematic uncertainty (~a few %) ; poor fit quality (log10-RMSE=1.391 > 0.15) - consider INCLUDE_CAP_LAYER=True or a graded interface; treat parameters with caution ; fit thickness 10.3 nm vs FFT 9.0 nm (> 3% apart) - verify fringe match ; fitted density only 61% of theoretical - very porous film or wrong material model ; roughness 8.0 nm is large - Nevot-Croce approximation marginal; consider a graded-density model"
29_0630_no_350_XRR.xy,OK,10.32,2.38,9.0,3.600,0.166,110.6,2.81,0.07,6.00,1.99,2.650,0 (fixed),0.020,0.178,5.08e-06,0.5475,0.2268,400,"max intensity 4.8e+06 cts - check detector linearity ; only ~2.0 fringes in range - thickness poorly constrained; extend the scan range ; parameter rho_film=3.6 at its bound [2,3.6] - widen bounds and refit ; parameter t_film=103.2 at its bound [76.29,103.2] - widen bounds and refit ; parameter sig_int=60 at its bound [0,60] - widen bounds and refit ; parameter rho_sub=2.65 at its bound [2,2.65] - widen bounds and refit ; fitted substrate density 2.65 g/cm3 deviates from nominal 2.20 - dense oxide or a graded film/substrate interface; film density then carries extra systematic uncertainty (~a few %) ; poor fit quality (log10-RMSE=0.227 > 0.15) - consider INCLUDE_CAP_LAYER=True or a graded interface; treat parameters with caution ; fit thickness 10.3 nm vs FFT 9.0 nm (> 3% apart) - verify fringe match ; fitted density 3.60 g/cm3 exceeds theoretical (3.25) by >2% - unphysical for AlN; check alignment/zero offset or model ; roughness 6.0 nm is large - Nevot-Croce approximation marginal; consider a graded-density model"
30_0701_40W_XRR.xy,OK,124.12,0.06,123.1,3.306,0.015,101.6,1.38,0.03,0.58,0.18,2.650,0 (fixed),0.739,1.417,2.38e-05,0.5246,0.1242,388,"parameter rho_sub=2.65 at its bound [2,2.65] - widen bounds and refit ; fitted substrate density 2.65 g/cm3 deviates from nominal 2.20 - dense oxide or a graded film/substrate interface; film density then carries extra systematic uncertainty (~a few %)"
32_0701_40W_overnight_XRR.xy,OK,7.64,1.93,9.0,3.130,0.138,96.2,1.19,0.07,4.15,1.94,2.575,0 (fixed),0.020,0.573,2.57e-05,0.5105,0.1982,400,"only ~2.0 fringes in range - thickness poorly constrained; extend the scan range ; parameter t_film=76.45 at its bound [76.45,103.4] - widen bounds and refit ; fitted substrate density 2.58 g/cm3 deviates from nominal 2.20 - dense oxide or a graded film/substrate interface; film density then carries extra systematic uncertainty (~a few %) ; poor fit quality (log10-RMSE=0.198 > 0.15) - consider INCLUDE_CAP_LAYER=True or a graded interface; treat parameters with caution ; fit thickness 7.6 nm vs FFT 9.0 nm (> 3% apart) - verify fringe match"
33_0702_50W_XRR.xy,OK,125.89,0.06,126.1,2.941,0.013,90.3,1.75,0.01,0.00,unconstr.,2.583,0 (fixed),1.500,3.828,7.61e-05,0.4948,0.0835,379,fitted substrate density 2.58 g/cm3 deviates from nominal 2.20 - dense oxide or a graded film/substrate interface; film density then carries extra systematic uncertainty (~a few %)
